title	context
Hampton Inn Boston Logan Airport	Hampton Inn Boston Logan Airport is located in Boston. Ideally located only minutes from Logan International Airport and offering convenient access to downtown Boston, this hotel provides free airport shuttle service along with comfortable accommodations...
Revere Hotel Boston Common	Revere Hotel Boston Common is located in Theater District, Boston. Located in downtown Boston, this redesigned boutique hotel is within a 1640 feet radius from attractions like Boston Common and Newbury Street. 
citizenM Boston North Station	citizenM Boston North Station is located in West End, Boston. This hotel is located around the corner from the North End neighborhood at the TD Garden Arena (home to the Boston Celtics and Boston Bruins). 
The Bostonian Boston	The Bostonian Boston is located in Downtown Boston, Boston. This hotel features on-site spa services and a contemporary American restaurant. Boston Common is 2953 feet away. The rooms of The Bostonian Boston feature a flat-screen TV, coffee maker and mini-bar....
The Newbury Boston	The Newbury Boston is located in Back Bay, Boston. The Newbury Boston features free bikes, garden, a shared lounge and bar in Boston. With free WiFi, this 5-star hotel offers room service and a 24-hour front desk. 
DoubleTree by Hilton Hotel Boston Bayside	DoubleTree by Hilton Hotel Boston Bayside is located in Dorchester, Boston. Located 10 minutes' walk from Carson Beach and 1 mile from The John F. Kennedy Presidential Library and Museum‎, this hotel features bright rooms with cable TV.  Wi-Fi is also available for a charge. 
YOTEL Boston	YOTEL Boston is located in Waterfront, Boston. Offering a rooftop terrace and panoramic views of the city, YOTEL Boston is situated in Boston's Seaport District. Guests can enjoy the on-site restaurant. 
Wyndham Boston Beacon Hill	Wyndham Boston Beacon Hill is located in West End, Boston. The Museum of Science and TD Bank Garden are located 2953 feet from this Boston city center hotel, featuring completely nonsmoking rooms, an on-site restaurant and many modern amenities. 
Copley House	Copley House is located in Back Bay, Boston. This guest house is located in the historic Back Bay area in Boston. Just 0.6 mi from Copley Square, these studios in a row of houses offer a fully equipped kitchen. 
Harborside Inn	Harborside Inn is located in Financial District, Boston. Located in Boston's waterfront district, this hotel is 919 feet from the harbor. Harborside Inn offers free upgraded high speed Wi-Fi, a free movie library and modern rooms with a DVD player. 
Aloft Boston Seaport District	Aloft Boston Seaport District is located in Seaport, Boston. Featuring free WiFi and a fitness center, Aloft Boston Seaport offers pet-friendly accommodations in Boston. Guests can enjoy the on-site bar. Private parking is available. 
The Verb Hotel	The Verb Hotel is located in Fenway Kenmore, Boston. Featuring an outdoor pool, The Verb Hotel is located in Boston. Free Wi-Fi access is available. Fenway Park is conveniently located 656 feet from the hotel. 
The Revolution Hotel	The Revolution Hotel is located in South End, Boston. The Revolution Hotel has free bikes, fitness center, a shared lounge and restaurant in Boston. 
Hyatt Place Boston/Seaport District	Hyatt Place Boston/Seaport District is located in Waterfront, Boston. Located in Boston, 0.7 mi from Boston Convention Exhibitors Center, Hyatt Place Boston/Seaport District provides accommodations with a restaurant, private parking, a fitness center and a terrace. 
Hampton Inn Boston Seaport District	Hampton Inn Boston Seaport District is located in Waterfront, Boston. Featuring 3-star accommodations, Hampton Inn Boston Seaport District is located in Boston, 1.3 miles from Pleasure Bay Beach and 1.3 miles from Carson Beach. 
