title	context
Miso Making Workshop in Arlington	"The most popular food and drink event called ""Miso Making Workshop in Arlington"" is happening in Boston this weekend at Thu, Aug 3 •  5:30 PM  and is hosted at ""1 Broadway 14th Floor"" and by ""Boston Japanese Trainers LLC"" with the ticket price: Starts at $80.00. Follow this link to learn more: https://www.eventbrite.com/e/miso-making-workshop-in-arlington-tickets-679452228907?aff=ebdssbcategorybrowse"
Dumpling Class at Mei Mei Dumpling Factory	"The most popular food and drink event called ""Dumpling Class at Mei Mei Dumpling Factory"" is happening in Boston this weekend at Saturday • 9:30 AM + 2 more and is hosted at ""Mei Mei Dumpling Factory"" and by ""Mei Mei Dumplings"" with the ticket price: Starts at $88.00. Follow this link to learn more: https://www.eventbrite.com/e/dumpling-class-at-mei-mei-dumpling-factory-tickets-622558819187?aff=ebdssbcategorybrowse"
Barbie Blowout Party at Shy Bird	"The most popular food and drink event called ""Barbie Blowout Party at Shy Bird"" is happening in Boston this weekend at Sunday • 3:00 PM and is hosted at ""Shy Bird - South Boston"" and by ""Shy Bird"" with the ticket price: Starts at $58.00. Follow this link to learn more: https://www.eventbrite.com/e/barbie-blowout-party-at-shy-bird-tickets-662635860697?aff=ebdssbcategorybrowse"
Italian Dinner with Tiramisu Finale (3-hour Culinary Experience)	"The most popular food and drink event called ""Italian Dinner with Tiramisu Finale (3-hour Culinary Experience)"" is happening in Boston this weekend at Saturday • 1:00 PM + 3 more and is hosted at ""Selfup Venue"" and by ""Selfup Boston"" with the ticket price: Starts at $120.00. Follow this link to learn more: https://www.eventbrite.com/e/italian-dinner-with-tiramisu-finale-3-hour-culinary-experience-tickets-483020676847?aff=ebdssbcategorybrowse"
Asian Dumplings & Dim Sum (Cooking Class+Lunch)	"The most popular food and drink event called ""Asian Dumplings & Dim Sum (Cooking Class+Lunch)"" is happening in Boston this weekend at Saturday • 1:00 PM + 1 more and is hosted at ""Selfup Venue"" and by ""Selfup Boston"" with the ticket price: Starts at $120.00. Follow this link to learn more: https://www.eventbrite.com/e/asian-dumplings-dim-sum-cooking-classlunch-tickets-483025581517?aff=ebdssbcategorybrowse"
Bagel Making Class at Forge Baking Company	"The most popular food and drink event called ""Bagel Making Class at Forge Baking Company"" is happening in Boston this weekend at Sunday • 2:00 PM and is hosted at ""Forge Baking Company"" and by ""Forge Baking Company"" with the ticket price: Starts at $115.00. Follow this link to learn more: https://www.eventbrite.com/e/bagel-making-class-at-forge-baking-company-tickets-594693814207?aff=ebdssbcategorybrowse"
Kids Dumpling Class at Mei Mei Dumpling Factory	"The most popular food and drink event called ""Kids Dumpling Class at Mei Mei Dumpling Factory"" is happening in Boston this weekend at Sunday • 9:30 AM and is hosted at ""Mei Mei Dumpling Factory"" and by ""Mei Mei Dumplings"" with the ticket price: Starts at $68.00. Follow this link to learn more: https://www.eventbrite.com/e/kids-dumpling-class-at-mei-mei-dumpling-factory-tickets-668999474437?aff=ebdssbcategorybrowse"
Sunday Kick back Bos	"The most popular food and drink event called ""Sunday Kick back Bos"" is happening in Boston this weekend at Sunday • 1:00 PM and is hosted at ""Savvor Lounge"" and by ""Hypatonez Intl"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/sunday-kick-back-bos-tickets-170211058859?aff=ebdssbcategorybrowse"
Harvard Square Chocolate Tour	"The most popular food and drink event called ""Harvard Square Chocolate Tour"" is happening in Boston this weekend at Saturday • 5:00 PM and is hosted at ""Harvard Square"" and by ""Off The Beaten Path Food Tours"" with the ticket price: Starts at $55.00. Follow this link to learn more: https://www.eventbrite.com/e/harvard-square-chocolate-tour-tickets-515884834427?aff=ebdssbcategorybrowse"
The King of Connaught U.S Debut Tour! McSwigan’s Pub	"The most popular music event called ""The King of Connaught U.S Debut Tour! McSwigan’s Pub"" is happening in Boston this weekend at Fri, Aug 4 •  9:00 PM  and is hosted at ""McSwigan’s Pub and Restaurant"" and by ""Pat Nee (617)901-6760"" with the ticket price: Starts at $25.00. Follow this link to learn more: https://www.eventbrite.com/e/the-king-of-connaught-us-debut-tour-mcswigans-pub-tickets-669973086537?aff=ebdssbcategorybrowse"
FAVELA ENCANTADA @ RoyaleBoston | Guestlist (Must Submit RSVP)	"The most popular music event called ""FAVELA ENCANTADA @ RoyaleBoston | Guestlist (Must Submit RSVP)"" is happening in Boston this weekend at Saturday • 10:00 PM and is hosted at ""ROYALE BOSTON"" and by ""Favela Encantada"" with the ticket price: Starts at $0.00. Follow this link to learn more: https://www.eventbrite.com/e/favela-encantada-royaleboston-guestlist-must-submit-rsvp-registration-451311884997?aff=ebdssbcategorybrowse"
VENU SATURDAYS (2 Rooms - Hip Hop & Latin)	"The most popular music event called ""VENU SATURDAYS (2 Rooms - Hip Hop & Latin)"" is happening in Boston this weekend at Saturday • 10:30 PM and is hosted at ""Venu"" and by ""6one7 Productions"" with the ticket price: Starts at $0.00. Follow this link to learn more: https://www.eventbrite.com/e/venu-saturdays-2-rooms-hip-hop-latin-tickets-607946312787?aff=ebdssbcategorybrowse"
Summer Rooftop DJ Weekends	"The most popular music event called ""Summer Rooftop DJ Weekends"" is happening in Boston this weekend at Saturday • 7:00 PM and is hosted at ""Sam Adams Downtown Boston Taproom"" and by ""Sam Adams Downtown Boston Taproom"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/summer-rooftop-dj-weekends-tickets-633567205567?aff=ebdssbcategorybrowse"
ICON SATURDAYS	"The most popular music event called ""ICON SATURDAYS"" is happening in Boston this weekend at Saturday • 10:30 PM and is hosted at ""ICON Nightclub"" and by ""6one7 Productions"" with the ticket price: Starts at $0.00. Follow this link to learn more: https://www.eventbrite.com/e/icon-saturdays-tickets-656978328867?aff=ebdssbcategorybrowse"
BACHATEA BOSTON VOL.1 - White Summer Party/Concert with Pinto Picasso	"The most popular music event called ""BACHATEA BOSTON VOL.1 - White Summer Party/Concert with Pinto Picasso"" is happening in Boston this weekend at Saturday • 11:00 AM and is hosted at ""Dante Alighieri Society of Massachusetts"" and by ""Bachata Room"" with the ticket price: Starts at $30.00. Follow this link to learn more: https://www.eventbrite.com/e/bachatea-boston-vol1-white-summer-partyconcert-with-pinto-picasso-tickets-646668341417?aff=ebdssbcategorybrowse"
PASSPORT SATURDAYS @ICON BOSTON	"The most popular music event called ""PASSPORT SATURDAYS @ICON BOSTON"" is happening in Boston this weekend at Saturday • 10:00 PM and is hosted at ""Icon nightclub"" and by ""www.IamAfriQue.com"" with the ticket price: Starts at $0.00. Follow this link to learn more: https://www.eventbrite.com/e/passport-saturdays-icon-boston-tickets-630542237807?aff=ebdssbcategorybrowse"
SOCIAL SATURDAY’S	"The most popular music event called ""SOCIAL SATURDAY’S"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""Savvor Lounge"" and by ""Hypatonez Intl"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/social-saturdays-tickets-243699661247?aff=ebdssbcategorybrowse"
Drag Me To Brunch Carrie Nation July 2023	"The most popular music event called ""Drag Me To Brunch Carrie Nation July 2023"" is happening in Boston this weekend at Sunday • 2:00 PM and is hosted at ""Carrie Nation Cocktail Club"" and by ""Carrie Nation Cocktail Club"" with the ticket price: Starts at $30.00. Follow this link to learn more: https://www.eventbrite.com/e/drag-me-to-brunch-carrie-nation-july-2023-tickets-604011323127?aff=ebdssbcategorybrowse"
